validated,Measurement System,Domain,Item ID,Stem,Context,DataType,Responses,Inst,hcp_variable,action_requested,requested_python,specialty_code,hcp_variable_upload,nda_structure,nda_element,template,inst_short,Source,description,valueRange,notes
,,,,,,,,Negative Affect Summary (13-17),Assessment_Name,"strip 'Assessment' from text, and rename to fneproc","studydata['fneproc']=studydata['Assessment_Name'].str.replace('Assessment ','')",,fneproc,prang01,fneproc,,Negative_Affect_Summary_13-17,,name of trial procedure being run,,
,,,,,,,,Negative Affect Summary (13-17),respondent,rename to comqother,studydata['comqother']=studydata['respondent'],,comqother,prang01,comqother,,Negative_Affect_Summary_13-17,,Respondent - Other (text),,
,,,,,,,,Negative Affect Summary (13-17),Fully_Corrected_T_score,,"studydata['fully_corrected_t_score']=studydata.Fully_Corrected_T_score.round().fillna(-9999).astype(int).astype(str).str.replace('-9999','')",,fully_corrected_t_score,prang01,fully_corrected_t_score,NAS_13-17.prang01_template.csv,Negative_Affect_Summary_13-17,HCPD,Anger: Fully Corrected T-score,,
,,,,,,,,Negative Affect Summary (13-17),Language,,studydata['interview_language']=studydata['Language'],,interview_language,prang01,interview_language,NAS_13-17.prang01_template.csv,Negative_Affect_Summary_13-17,HCPD,Language Used in the Interview,,
,,,,,,,,Negative Affect Summary (18+),dummy_00001,required variable - set to 999 for HCPD since not collected,studydata['anger_rs']='999',,anger_rs,prang01,anger_rs,,Negative_Affect_Summary_18,,Anger raw score,,
,,,,,,,,Negative Affect Summary (18+),dummy_00002,required variable - set to 999 for HCPD since not collected,studydata['anger_se']='999',,anger_se,prang01,anger_se,,Negative_Affect_Summary_18,,Anger standard error,,
,,,,,,,,Negative Affect Summary (18+),dummy_00003,required variable - set to 999 for HCPD since not collected,studydata['anger_theta']='999',,anger_theta,prang01,anger_theta,,Negative_Affect_Summary_18,,Anger theta,,
,,,,,,,,Negative Affect Summary (18+),Inst,rename to version_form,studydata['version_form']=studydata['Inst'],,version_form,prang01,version_form,,Negative_Affect_Summary_18,,Form used/assessment name,,
,,,,,,,,Negative Affect Summary (18+),Assessment_Name,"strip 'Assessment' from text, and rename to fneproc","studydata['fneproc']=studydata['Assessment_Name'].str.replace('Assessment ','')",,fneproc,prang01,fneproc,,Negative_Affect_Summary_18,,name of trial procedure being run,,
,,,,,,,,Negative Affect Summary (18+),respondent,rename to comqother,studydata['comqother']=studydata['respondent'],,comqother,prang01,comqother,,Negative_Affect_Summary_18,,Respondent - Other (text),,
,,,,,,,,Negative Affect Summary (18+),Language,,studydata['interview_language']=studydata['Language'],,interview_language,prang01,interview_language,NAS_18+.prang01_template.csv,Negative_Affect_Summary_18,HCPD HCPA,Language Used in the Interview,,
,,,,,,,,Negative Affect Summary (18+),TScore,,studydata['anger_ts']=studydata['TScore'],,anger_ts,prang01,anger_ts,NAS_18+.prang01_template.csv,Negative_Affect_Summary_18,HCPD HCPA,Anger T score,,
,,,,,,,,Negative Affect Summary (8-12),dummy_00050,,studydata['anger_rs']='999',,anger_rs,prang01,anger_rs,,Negative_Affect_Summary_8-12,,Anger raw score,,
,,,,,,,,Negative Affect Summary (8-12),dummy_00051,,studydata['anger_ts']='999',,anger_ts,prang01,anger_ts,,Negative_Affect_Summary_8-12,,Anger T score,,
,,,,,,,,Negative Affect Summary (8-12),dummy_00052,,studydata['anger_se']='999',,anger_se,prang01,anger_se,,Negative_Affect_Summary_8-12,,Anger standard error,,
,,,,,,,,Negative Affect Summary (8-12),dummy_00053,,studydata['anger_theta']='999',,anger_theta,prang01,anger_theta,,Negative_Affect_Summary_8-12,,Anger theta,,
,,,,,,,,Negative Affect Summary (8-12),Inst,rename to version_form,studydata['version_form']=studydata['Inst'],,version_form,prang01,version_form,,Negative_Affect_Summary_8-12,,Form used/assessment name,,
,,,,,,,,Negative Affect Summary (8-12),Assessment_Name,"strip 'Assessment' from text, and rename to fneproc","studydata['fneproc']=studydata['Assessment_Name'].str.replace('Assessment ','')",,fneproc,prang01,fneproc,,Negative_Affect_Summary_8-12,,name of trial procedure being run,,
,,,,,,,,Negative Affect Summary (8-12),respondent,rename to comqother,studydata['comqother']=studydata['respondent'],,comqother,prang01,comqother,,Negative_Affect_Summary_8-12,,Respondent - Other (text),,
,,,,,,,,Negative Affect Summary (8-12),Fully_Corrected_T_score,,"studydata['fully_corrected_t_score']=studydata.Fully_Corrected_T_score.round().fillna(-9999).astype(int).astype(str).str.replace('-9999','')",,fully_corrected_t_score,prang01,fully_corrected_t_score,NAS_8-12.prang01_template.csv,Negative_Affect_Summary_8-12,HCPD,Anger: Fully Corrected T-score,,
,,,,,,,,Negative Affect Summary (8-12),Language,,studydata['interview_language']=studydata['Language'],,interview_language,prang01,interview_language,NAS_8-12.prang01_template.csv,Negative_Affect_Summary_8-12,HCPD,Language Used in the Interview,,
,,,,,,,,Negative Peer Relations Parent Report Summary (8-12),dummy_00054,,studydata['nih_tlbx_se']='999',,nih_tlbx_se,tlbx_empbeh01,,,Negative_Peer_Relations.tlbx_empbeh01,,,,
,,,,,,,,Negative Peer Relations Parent Report Summary (8-12),dummy_00055,,studydata['nih_tlbx_tscore']='999',,nih_tlbx_tscore,tlbx_empbeh01,,,Negative_Peer_Relations.tlbx_empbeh01,,,,
,,,,,,,,Negative Peer Relations Parent Report Summary (8-12),dummy_00056,,studydata['nih_tlbx_theta']='999',,nih_tlbx_theta,tlbx_empbeh01,,,Negative_Peer_Relations.tlbx_empbeh01,,,,
,,,,,,,,Negative Peer Relations Parent Report Summary (8-12),Inst,rename to version_form,studydata['version_form']=studydata['Inst'],,version_form,tlbx_empbeh01,version_form,,Negative_Peer_Relations.tlbx_empbeh01,,Form used/assessment name,,
,,,,,,,,Negative Peer Relations Parent Report Summary (8-12),Assessment_Name,"strip 'Assessment' from text, and rename to fneproc","studydata['fneproc']=studydata['Assessment_Name'].str.replace('Assessment ','')",,fneproc,tlbx_empbeh01,fneproc,,Negative_Peer_Relations.tlbx_empbeh01,,name of trial procedure being run,,
,,,,,,,,Negative Peer Relations Parent Report Summary (8-12),respondent,rename to comqother,studydata['comqother']=studydata['respondent'],,comqother,tlbx_empbeh01,comqother,,Negative_Peer_Relations.tlbx_empbeh01,,Respondent - Other (text),,
,,,,,,,,Negative Peer Relations Parent Report Summary (8-12),Fully_Corrected_T_score,,studydata['nih_tlbx_fctsc']=studydata['Fully_Corrected_T_score'],,nih_tlbx_fctsc,tlbx_empbeh01,nih_tlbx_fctsc,Negative_Peer_Relations.tlbx_empbeh01_template.csv,Negative_Peer_Relations.tlbx_empbeh01,HCPD,Fully-Corrected T-Score,0::120,
,,,,,,,,Negative Peer Relations Parent Report Summary (8-12),ItmCnt,,"studydata['wcst_ni']=studydata.ItmCnt.round().fillna(-9999).astype(int).astype(str).str.replace('-9999','')",,wcst_ni,tlbx_empbeh01,wcst_ni,Negative_Peer_Relations.tlbx_empbeh01_template.csv,Negative_Peer_Relations.tlbx_empbeh01,HCPD,Number of Items,,
,,,,,,,,Negative Peer Relations Parent Report Summary (8-12),Language,,studydata['interview_language']=studydata['Language'],,interview_language,tlbx_empbeh01,interview_language,Negative_Peer_Relations.tlbx_empbeh01_template.csv,Negative_Peer_Relations.tlbx_empbeh01,HCPD,Language Used in the Interview,,
,,,,,,,,Negative Peer Relations Parent Report Summary (8-12),RawScore,,"studydata['nih_tlbx_rawscore']=studydata.RawScore.round().fillna(-9999).astype(int).astype(str).str.replace('-9999','')",,nih_tlbx_rawscore,tlbx_empbeh01,nih_tlbx_rawscore,Negative_Peer_Relations.tlbx_empbeh01_template.csv,Negative_Peer_Relations.tlbx_empbeh01,HCPD,RawScore,,
,,,,,,,,Negative Psychosocial Functioning Parent Report Summary (3-7),dummy_00100,,studydata['nih_tlbx_rawscore']='999',,nih_tlbx_rawscore,tlbx_wellbeing01,nih_tlbx_rawscore,,Negative_Psychosocial.tlbx_wellbeing01,,RawScore,,
,,,,,,,,Negative Psychosocial Functioning Parent Report Summary (3-7),dummy_00101,,studydata['nih_tlbx_theta']='999',,nih_tlbx_theta,tlbx_wellbeing01,nih_tlbx_theta,,Negative_Psychosocial.tlbx_wellbeing01,,Theta,,999=NA/NK/missing
,,,,,,,,Negative Psychosocial Functioning Parent Report Summary (3-7),dummy_00102,,studydata['nih_tlbx_tscore']='999',,nih_tlbx_tscore,tlbx_wellbeing01,nih_tlbx_tscore,,Negative_Psychosocial.tlbx_wellbeing01,,T-score,0::200; 999,999=NA/NK/missing
,,,,,,,,Negative Psychosocial Functioning Parent Report Summary (3-7),dummy_00103,,studydata['nih_tlbx_se']='999',,nih_tlbx_se,tlbx_wellbeing01,nih_tlbx_se,,Negative_Psychosocial.tlbx_wellbeing01,,Standard Error,,999=NA/NK/missing
,,,,,,,,Negative Psychosocial Functioning Parent Report Summary (3-7),Inst,rename to version_form,studydata['version_form']=studydata['Inst'],,version_form,tlbx_wellbeing01,version_form,,Negative_Psychosocial.tlbx_wellbeing01,,Form used/assessment name,,
,,,,,,,,Negative Psychosocial Functioning Parent Report Summary (3-7),Assessment_Name,"strip 'Assessment' from text, and rename to fneproc","studydata['fneproc']=studydata['Assessment_Name'].str.replace('Assessment ','')",,fneproc,tlbx_wellbeing01,fneproc,,Negative_Psychosocial.tlbx_wellbeing01,,name of trial procedure being run,,
,,,,,,,,Negative Psychosocial Functioning Parent Report Summary (3-7),respondent,rename to comqother,studydata['comqother']=studydata['respondent'],,comqother,tlbx_wellbeing01,comqother,,Negative_Psychosocial.tlbx_wellbeing01,,Respondent - Other (text),,
,,,,,,,,Negative Psychosocial Functioning Parent Report Summary (3-7),Fully_Corrected_T_score,,studydata['nih_tlbx_fctsc']=studydata['Fully_Corrected_T_score'],,nih_tlbx_fctsc,tlbx_wellbeing01,nih_tlbx_fctsc,Negative_Psychosocial.tlbx_wellbeing01_template.csv,Negative_Psychosocial.tlbx_wellbeing01,HCPD,Fully-Corrected T-Score,0::120,
,,,,,,,,Negative Psychosocial Functioning Parent Report Summary (3-7),ItmCnt,,"studydata['wcst_ni']=studydata.ItmCnt.round().fillna(-9999).astype(int).astype(str).str.replace('-9999','')",,wcst_ni,tlbx_wellbeing01,wcst_ni,Negative_Psychosocial.tlbx_wellbeing01_template.csv,Negative_Psychosocial.tlbx_wellbeing01,HCPD,Number of Items,,
,,,,,,,,Negative Psychosocial Functioning Parent Report Summary (3-7),Language,Please rename this column 'interview_language'.,studydata['interview_language']=studydata['Language'],,interview_language,tlbx_wellbeing01,interview_language,Negative_Psychosocial.tlbx_wellbeing01_template.csv,Negative_Psychosocial.tlbx_wellbeing01,HCPD,Language Used in the Interview,,
,,,,,,,,Negative Social Perception Summary (13-17),dummy_00057,,studydata['anger_rs']='999',,anger_rs,prang01,anger_rs,,Negative_Social_13-17.prang01,,Anger raw score,,
,,,,,,,,Negative Social Perception Summary (13-17),dummy_00058,,studydata['anger_ts']='999',,anger_ts,prang01,anger_ts,,Negative_Social_13-17.prang01,,Anger T score,,
,,,,,,,,Negative Social Perception Summary (13-17),dummy_00059,,studydata['anger_se']='999',,anger_se,prang01,anger_se,,Negative_Social_13-17.prang01,,Anger standard error,,
,,,,,,,,Negative Social Perception Summary (13-17),dummy_00060,,studydata['anger_theta']='999',,anger_theta,prang01,anger_theta,,Negative_Social_13-17.prang01,,Anger theta,,
,,,,,,,,Negative Social Perception Summary (13-17),Inst,rename to version_form,studydata['version_form']=studydata['Inst'],,version_form,prang01,version_form,,Negative_Social_13-17.prang01,,Form used/assessment name,,
,,,,,,,,Negative Social Perception Summary (13-17),Assessment_Name,"strip 'Assessment' from text, and rename to fneproc","studydata['fneproc']=studydata['Assessment_Name'].str.replace('Assessment ','')",,fneproc,prang01,fneproc,,Negative_Social_13-17.prang01,,name of trial procedure being run,,
,,,,,,,,Negative Social Perception Summary (13-17),respondent,rename to comqother,studydata['comqother']=studydata['respondent'],,comqother,prang01,comqother,,Negative_Social_13-17.prang01,,Respondent - Other (text),,
,,,,,,,,Negative Social Perception Summary (13-17),Fully_Corrected_T_score,Please rename this column 'nih_tlbx_fctsc' to avoid a naming conflict.,studydata['nih_tlbx_fctsc']=studydata['Fully_Corrected_T_score'],,nih_tlbx_fctsc,prang01,nih_tlbx_fctsc,Negative_Social_13-17.prang01_template.csv,Negative_Social_13-17.prang01,HCPD,Fully-Corrected T-Score,0::120,
,,,,,,,,Negative Social Perception Summary (13-17),ItmCnt,,studydata['wcst_ni']=studydata.ItmCnt,,wcst_ni,prang01,wcst_ni,Negative_Social_13-17.prang01_template.csv,Negative_Social_13-17.prang01,HCPD,Number of Items,,
,,,,,,,,Negative Social Perception Summary (13-17),Language,,studydata['interview_language']=studydata['Language'],,interview_language,prang01,interview_language,Negative_Social_13-17.prang01_template.csv,Negative_Social_13-17.prang01,HCPD,Language Used in the Interview,,
,,,,,,,,Negative Social Perception Summary (8-12),dummy_00061,,studydata['anger_rs']='999',,anger_rs,prang01,anger_rs,,Negative_Social_8-12.prang01,,Anger raw score,,
,,,,,,,,Negative Social Perception Summary (8-12),dummy_00062,,studydata['anger_ts']='999',,anger_ts,prang01,anger_ts,,Negative_Social_8-12.prang01,,Anger T score,,
,,,,,,,,Negative Social Perception Summary (8-12),dummy_00063,,studydata['anger_se']='999',,anger_se,prang01,anger_se,,Negative_Social_8-12.prang01,,Anger standard error,,
,,,,,,,,Negative Social Perception Summary (8-12),dummy_00064,,studydata['anger_theta']='999',,anger_theta,prang01,anger_theta,,Negative_Social_8-12.prang01,,Anger theta,,
,,,,,,,,Negative Social Perception Summary (8-12),Inst,rename to version_form,studydata['version_form']=studydata['Inst'],,version_form,prang01,version_form,,Negative_Social_8-12.prang01,,Form used/assessment name,,
,,,,,,,,Negative Social Perception Summary (8-12),Assessment_Name,"strip 'Assessment' from text, and rename to fneproc","studydata['fneproc']=studydata['Assessment_Name'].str.replace('Assessment ','')",,fneproc,prang01,fneproc,,Negative_Social_8-12.prang01,,name of trial procedure being run,,
,,,,,,,,Negative Social Perception Summary (8-12),respondent,rename to comqother,studydata['comqother']=studydata['respondent'],,comqother,prang01,comqother,,Negative_Social_8-12.prang01,,Respondent - Other (text),,
,,,,,,,,Negative Social Perception Summary (8-12),Fully_Corrected_T_score,,studydata['nih_tlbx_fctsc']=studydata['Fully_Corrected_T_score'],,nih_tlbx_fctsc,prang01,nih_tlbx_fctsc,Negative_Social_8-12.prang01_template.csv,Negative_Social_8-12.prang01,HCPD,Fully-Corrected T-Score,0::120,
,,,,,,,,Negative Social Perception Summary (8-12),ItmCnt,,"studydata['wcst_ni']=studydata.ItmCnt.round().fillna(-9999).astype(int).astype(str).str.replace('-9999','')",,wcst_ni,prang01,wcst_ni,Negative_Social_8-12.prang01_template.csv,Negative_Social_8-12.prang01,HCPD,Number of Items,,
,,,,,,,,Negative Social Perception Summary (8-12),Language,,studydata['interview_language']=studydata['Language'],,interview_language,prang01,interview_language,Negative_Social_8-12.prang01_template.csv,Negative_Social_8-12.prang01,HCPD,Language Used in the Interview,,
,NIH Toolbox,Motor,EN6M50_2M_TURNS,# turns,# turns,string,"1=&#160;
",NIH Toolbox 2-Minute Walk Endurance Test Age 3+ v2.0,en6m50_2m_turns,,"studydata['en6m50_2m_turns']=studydata.en6m50_2m_turns.round().fillna(-9999).astype(int).astype(str).str.replace('-9999','')",,en6m50_2m_turns,tlbx_motor01,en6m50_2m_turns,2-Minute_Walk.tlbx_motor01_template,2-Minute_Walk,HCPD HCPA,Endurance - 2 minute walk - Number of course turns,,
,NIH Toolbox,Motor,EN6M50_2M_10FT_MARKS,EN6M50_2M_10FT_MARKS,# 10 ft marks,string,"1=&#160;
",NIH Toolbox 2-Minute Walk Endurance Test Age 3+ v2.0,en6m50_2m_10ft_marks,,"studydata['en6m50_2m_10ft_marks']=studydata.en6m50_2m_10ft_marks.round().fillna(-9999).astype(int).astype(str).str.replace('-9999','')",,en6m50_2m_10ft_marks,tlbx_motor01,en6m50_2m_10ft_marks,2-Minute_Walk.tlbx_motor01_template,2-Minute_Walk,HCPD HCPA,Endurance - 2 minute walk - Number of 10 ft marks,,
,NIH Toolbox,Motor,EN6M50_2M_FT,EN6M50_2M_FT,additional feet walked,string,"1=&#160;
",NIH Toolbox 2-Minute Walk Endurance Test Age 3+ v2.0,en6m50_2m_ft,,"studydata['en6m50_2m_ft']=studydata.en6m50_2m_ft.round().fillna(-9999).astype(int).astype(str).str.replace('-9999','')",,en6m50_2m_ft,tlbx_motor01,en6m50_2m_ft,2-Minute_Walk.tlbx_motor01_template,2-Minute_Walk,HCPD HCPA,Endurance - 2 minute walk - Feet,,
,NIH Toolbox,Motor,EN6M50_2M_INCHES,EN6M50_2M_INCHES,additional inches walked,string,"1=&#160;
",NIH Toolbox 2-Minute Walk Endurance Test Age 3+ v2.0,en6m50_2m_inches,,"studydata['en6m50_2m_inches']=studydata.en6m50_2m_inches.round().fillna(-9999).astype(int).astype(str).str.replace('-9999','')",,en6m50_2m_inches,tlbx_motor01,en6m50_2m_inches,2-Minute_Walk.tlbx_motor01_template,2-Minute_Walk,HCPD HCPA,Endurance - 2 minute walk - Inches,,
,,,,,,,,NIH Toolbox 2-Minute Walk Endurance Test Age 3+ v2.0,Age_Corrected_Standard_Score,,"studydata['twomin_acss']=studydata.Age_Corrected_Standard_Score.round().fillna(-9999).astype(int).astype(str).str.replace('-9999','')",,twomin_acss,tlbx_motor01,twomin_acss,2-Minute_Walk.tlbx_motor01_template,2-Minute_Walk,HCPD HCPA,2-Minute Walk Endurance Test Age-Corrected Standard Score,,
,,,,,,,,NIH Toolbox 2-Minute Walk Endurance Test Age 3+ v2.0,Inst,rename to version_form,studydata['version_form']=studydata['Inst'],,version_form,tlbx_motor01,version_form,,2-Minute_Walk,,Form used/assessment name,,
,,,,,,,,NIH Toolbox 2-Minute Walk Endurance Test Age 3+ v2.0,Assessment_Name,"strip 'Assessment' from text, and rename to fneproc","studydata['fneproc']=studydata['Assessment_Name'].str.replace('Assessment ','')",,fneproc,tlbx_motor01,fneproc,,2-Minute_Walk,,name of trial procedure being run,,
