Inst,template,inst_short,Source,nda_structure,nda_element,hcp_variable,action_requested,hcp_variable_upload,specialty_code,requested_python,description,valueRange,notes
Negative Peer Relations Parent Report Summary (8-12),Negative_Peer_Relations.tlbx_empbeh01_template.csv,Negative_Peer_Relations.tlbx_empbeh01,HCPD,tlbx_empbeh01,evt_conint,evt_conint,,evt_conint,,,Confidence Interval,,
Negative Peer Relations Parent Report Summary (8-12),Negative_Peer_Relations.tlbx_empbeh01_template.csv,Negative_Peer_Relations.tlbx_empbeh01,HCPD,tlbx_empbeh01,nih_tlbx_fctsc,Fully_Corrected_T_score,,Fully_Corrected_T_score,,,Fully-Corrected T-Score,0::120,
Negative Peer Relations Parent Report Summary (8-12),Negative_Peer_Relations.tlbx_empbeh01_template.csv,Negative_Peer_Relations.tlbx_empbeh01,HCPD,tlbx_empbeh01,wcst_ni,ItmCnt,,ItmCnt,,studydata['ItmCnt']=studydata.ItmCnt.astype(int),Number of Items,,
Negative Peer Relations Parent Report Summary (8-12),Negative_Peer_Relations.tlbx_empbeh01_template.csv,Negative_Peer_Relations.tlbx_empbeh01,HCPD,tlbx_empbeh01,interview_language,Language,,Language,,,Language Used in the Interview,,
Negative Peer Relations Parent Report Summary (8-12),Negative_Peer_Relations.tlbx_empbeh01_template.csv,Negative_Peer_Relations.tlbx_empbeh01,HCPD,tlbx_empbeh01,nih_tlbx_rawscore,RawScore,,RawScore,,"studydata['RawScore']=studydata.RawScore.round().fillna(-99).astype(int).astype(str).str.replace('-99','')",RawScore,,
Negative Peer Relations Parent Report Summary (8-12),Negative_Peer_Relations.tlbx_empbeh01_template.csv,Negative_Peer_Relations.tlbx_empbeh01,HCPD,tlbx_empbeh01,nih_tlbx_se,se,,se,,,Standard Error,,999=NA/NK/missing
Negative Psychosocial Functioning Parent Report Summary (3-7),Negative_Psychosocial.tlbx_wellbeing01_template.csv,Negative_Psychosocial.tlbx_wellbeing01,HCPD,tlbx_wellbeing01,version_form,Assessment_Name,,Assessment_Name,,,Form used/assessment name,,
Negative Psychosocial Functioning Parent Report Summary (3-7),Negative_Psychosocial.tlbx_wellbeing01_template.csv,Negative_Psychosocial.tlbx_wellbeing01,HCPD,tlbx_wellbeing01,version_form,Assessment_Name,,Assessment_Name,,,Form used/assessment name,,
Negative Psychosocial Functioning Parent Report Summary (3-7),Negative_Psychosocial.tlbx_wellbeing01_template.csv,Negative_Psychosocial.tlbx_wellbeing01,HCPD,tlbx_wellbeing01,nih_tlbx_fctsc,Fully_Corrected_T_score,,Fully_Corrected_T_score,,,Fully-Corrected T-Score,0::120,
Negative Psychosocial Functioning Parent Report Summary (3-7),Negative_Psychosocial.tlbx_wellbeing01_template.csv,Negative_Psychosocial.tlbx_wellbeing01,HCPD,tlbx_wellbeing01,nih_tlbx_fctsc,Fully_Corrected_T_score,,Fully_Corrected_T_score,,,Fully-Corrected T-Score,0::120,
Negative Psychosocial Functioning Parent Report Summary (3-7),Negative_Psychosocial.tlbx_wellbeing01_template.csv,Negative_Psychosocial.tlbx_wellbeing01,HCPD,tlbx_wellbeing01,wcst_ni,ItmCnt,,ItmCnt,,studydata['ItmCnt']=studydata.ItmCnt.astype(int),Number of Items,,
Negative Psychosocial Functioning Parent Report Summary (3-7),Negative_Psychosocial.tlbx_wellbeing01_template.csv,Negative_Psychosocial.tlbx_wellbeing01,HCPD,tlbx_wellbeing01,wcst_ni,ItmCnt,,ItmCnt,,studydata['ItmCnt']=studydata.ItmCnt.astype(int),Number of Items,,
Negative Psychosocial Functioning Parent Report Summary (3-7),Negative_Psychosocial.tlbx_wellbeing01_template.csv,Negative_Psychosocial.tlbx_wellbeing01,HCPD,tlbx_wellbeing01,interview_language,Language,Please rename this column 'interview_language'.,interview_language,,studydata['interview_language']=studydata['Language'],Language Used in the Interview,,
Negative Psychosocial Functioning Parent Report Summary (3-7),Negative_Psychosocial.tlbx_wellbeing01_template.csv,Negative_Psychosocial.tlbx_wellbeing01,HCPD,tlbx_wellbeing01,interview_language,Language,Please rename this column 'interview_language'.,interview_language,,studydata['interview_language']=studydata['Language'],Language Used in the Interview,,
Negative Social Perception Summary (13-17),Negative_Social_13-17.prang01_template.csv,Negative_Social_13-17.prang01,HCPD,prang01,version_form,Assessment_Name,,Assessment_Name,,,Form used/assessment name,,
Negative Social Perception Summary (13-17),Negative_Social_13-17.prang01_template.csv,Negative_Social_13-17.prang01,HCPD,prang01,version_form,Assessment_Name,,version_form,,,Form used/assessment name,,
Negative Social Perception Summary (13-17),Negative_Social_13-17.prang01_template.csv,Negative_Social_13-17.prang01,HCPD,prang01,nih_tlbx_fctsc,Fully_Corrected_T_score,Please rename this column 'nih_tlbx_fctsc' to avoid a naming conflict.,,,,Fully-Corrected T-Score,0::120,
Negative Social Perception Summary (13-17),Negative_Social_13-17.prang01_template.csv,Negative_Social_13-17.prang01,HCPD,prang01,nih_tlbx_fctsc,Fully_Corrected_T_score,Please rename this column 'nih_tlbx_fctsc' to avoid a naming conflict.,nih_tlbx_fctsc,,studydata['nih_tlbx_fctsc']=studydata['Fully_Corrected_T_score'],Fully-Corrected T-Score,0::120,
Negative Social Perception Summary (13-17),Negative_Social_13-17.prang01_template.csv,Negative_Social_13-17.prang01,HCPD,prang01,wcst_ni,ItmCnt,,ItmCnt,,studydata['ItmCnt']=studydata.ItmCnt.astype(int),Number of Items,,
Negative Social Perception Summary (13-17),Negative_Social_13-17.prang01_template.csv,Negative_Social_13-17.prang01,HCPD,prang01,wcst_ni,ItmCnt,,wcst_ni,,studydata['ItmCnt']=studydata.ItmCnt.astype(int),Number of Items,,
Negative Social Perception Summary (13-17),Negative_Social_13-17.prang01_template.csv,Negative_Social_13-17.prang01,HCPD,prang01,interview_language,Language,,Language,,,Language Used in the Interview,,
Negative Social Perception Summary (13-17),Negative_Social_13-17.prang01_template.csv,Negative_Social_13-17.prang01,HCPD,prang01,interview_language,Language,,interview_language,,,Language Used in the Interview,,
Negative Social Perception Summary (8-12),Negative_Social_8-12.prang01_template.csv,Negative_Social_8-12.prang01,HCPD,prang01,version_form,Assessment_Name,,Assessment_Name,,,Form used/assessment name,,
Negative Social Perception Summary (8-12),Negative_Social_8-12.prang01_template.csv,Negative_Social_8-12.prang01,HCPD,prang01,version_form,Assessment_Name,,Assessment_Name,,,Form used/assessment name,,
Negative Social Perception Summary (8-12),Negative_Social_8-12.prang01_template.csv,Negative_Social_8-12.prang01,HCPD,prang01,nih_tlbx_fctsc,Fully_Corrected_T_score,,Fully_Corrected_T_score,,,Fully-Corrected T-Score,0::120,
Negative Social Perception Summary (8-12),Negative_Social_8-12.prang01_template.csv,Negative_Social_8-12.prang01,HCPD,prang01,nih_tlbx_fctsc,Fully_Corrected_T_score,,Fully_Corrected_T_score,,,Fully-Corrected T-Score,0::120,
Negative Social Perception Summary (8-12),Negative_Social_8-12.prang01_template.csv,Negative_Social_8-12.prang01,HCPD,prang01,wcst_ni,ItmCnt,,ItmCnt,,studydata['ItmCnt']=studydata.ItmCnt.astype(int),Number of Items,,
Negative Social Perception Summary (8-12),Negative_Social_8-12.prang01_template.csv,Negative_Social_8-12.prang01,HCPD,prang01,wcst_ni,ItmCnt,,ItmCnt,,studydata['ItmCnt']=studydata.ItmCnt.astype(int),Number of Items,,
Negative Social Perception Summary (8-12),Negative_Social_8-12.prang01_template.csv,Negative_Social_8-12.prang01,HCPD,prang01,interview_language,Language,,Language,,,Language Used in the Interview,,
Negative Social Perception Summary (8-12),Negative_Social_8-12.prang01_template.csv,Negative_Social_8-12.prang01,HCPD,prang01,interview_language,Language,,Language,,,Language Used in the Interview,,
NIH Toolbox 2-Minute Walk Endurance Test Age 3+ v2.0,2-Minute_Walk.tlbx_motor01_template,2-Minute_Walk,HCPD HCPA,tlbx_motor01,twomin_acss,Age_Corrected_Standard_Score,,Age_Corrected_Standard_Score,,"studydata['Age_Corrected_Standard_Score']=studydata.Age_Corrected_Standard_Score.round().fillna(-99).astype(int).astype(str).str.replace('-99','')",2-Minute Walk Endurance Test Age-Corrected Standard Score,,
NIH Toolbox 2-Minute Walk Endurance Test Age 3+ v2.0,2-Minute_Walk.tlbx_motor01_template,2-Minute_Walk,HCPD HCPA,tlbx_motor01,version_form,Assessment_Name,,Assessment_Name,,,Form used/assessment name,,
NIH Toolbox 2-Minute Walk Endurance Test Age 3+ v2.0,2-Minute_Walk.tlbx_motor01_template,2-Minute_Walk,HCPD HCPA,tlbx_motor01,en6m50_2m_10ft_marks,en6m50_2m_10ft_marks,,en6m50_2m_10ft_marks,,,Endurance - 2 minute walk - Number of 10 ft marks,,
NIH Toolbox 2-Minute Walk Endurance Test Age 3+ v2.0,2-Minute_Walk.tlbx_motor01_template,2-Minute_Walk,HCPD HCPA,tlbx_motor01,en6m50_2m_ft,en6m50_2m_ft,,en6m50_2m_ft,,,Endurance - 2 minute walk - Feet,,
NIH Toolbox 2-Minute Walk Endurance Test Age 3+ v2.0,2-Minute_Walk.tlbx_motor01_template,2-Minute_Walk,HCPD HCPA,tlbx_motor01,en6m50_2m_inches,en6m50_2m_inches,,en6m50_2m_inches,,,Endurance - 2 minute walk - Inches,,
NIH Toolbox 2-Minute Walk Endurance Test Age 3+ v2.0,2-Minute_Walk.tlbx_motor01_template,2-Minute_Walk,HCPD HCPA,tlbx_motor01,en6m50_2m_turns,en6m50_2m_turns,,en6m50_2m_turns,,,Endurance - 2 minute walk - Number of course turns,,
NIH Toolbox 2-Minute Walk Endurance Test Age 3+ v2.0,2-Minute_Walk.tlbx_motor01_template,2-Minute_Walk,HCPD HCPA,tlbx_motor01,wcst_ni,ItmCnt,,ItmCnt,,studydata['ItmCnt']=studydata.ItmCnt.astype(int),Number of Items,,
NIH Toolbox 2-Minute Walk Endurance Test Age 3+ v2.0,2-Minute_Walk.tlbx_motor01_template,2-Minute_Walk,HCPD HCPA,tlbx_motor01,interview_language,Language,,Language,,,Language Used in the Interview,,
NIH Toolbox 2-Minute Walk Endurance Test Age 3+ v2.0,2-Minute_Walk.tlbx_motor01_template,2-Minute_Walk,HCPD HCPA,tlbx_motor01,twomin_pctl,National_Percentile__age_adjusted_,,National_Percentile__age_adjusted_,,"studydata['National_Percentile__age_adjusted_']=studydata.National_Percentile__age_adjusted_.round().fillna(-99).astype(int).astype(str).str.replace('-99','')",2-Minute Walk Endurance Test National Percentile (age adjusted),0::100,
NIH Toolbox 2-Minute Walk Endurance Test Age 3+ v2.0,2-Minute_Walk.tlbx_motor01_template,2-Minute_Walk,HCPD HCPA,tlbx_motor01,raw_wet,RawScore,Please rename this column 'raw_wet' to avoid a naming conflict.,raw_wet,,"studydata['raw_wet']=studydata.RawScore.round().fillna(-99).astype(int).astype(str).str.replace('-99','')",2-Minute Walk Endurance Test,,
NIH Toolbox 2-Minute Walk Endurance Test Age 3+ v2.0,2-Minute_Walk.tlbx_motor01_template,2-Minute_Walk,HCPD HCPA,tlbx_motor01,end_2m_standardsc,Uncorrected_Standard_Score,,Uncorrected_Standard_Score,,,Endurance -Normative Standard Score,,
NIH Toolbox 4-Meter Walk Gait Speed Test Age 7+ v2.0,4-Meter_Walk.tlbx_motor01_template,4-Meter_Walk,HCPD HCPA,tlbx_motor01,version_form,Assessment_Name,,Assessment_Name,,,Form used/assessment name,,
NIH Toolbox 4-Meter Walk Gait Speed Test Age 7+ v2.0,4-Meter_Walk.tlbx_motor01_template,4-Meter_Walk,HCPD HCPA,tlbx_motor01,loco_comscore,Computed_Score,,Computed_Score,,,Locomotion - 4 meter walk - Computed Score,,
NIH Toolbox 4-Meter Walk Gait Speed Test Age 7+ v2.0,4-Meter_Walk.tlbx_motor01_template,4-Meter_Walk,HCPD HCPA,tlbx_motor01,wcst_ni,ItmCnt,,ItmCnt,,studydata['ItmCnt']=studydata.ItmCnt.astype(int),Number of Items,,
NIH Toolbox 4-Meter Walk Gait Speed Test Age 7+ v2.0,4-Meter_Walk.tlbx_motor01_template,4-Meter_Walk,HCPD HCPA,tlbx_motor01,interview_language,Language,,Language,,,Language Used in the Interview,,
NIH Toolbox 4-Meter Walk Gait Speed Test Age 7+ v2.0,4-Meter_Walk.tlbx_motor01_template,4-Meter_Walk,HCPD HCPA,tlbx_motor01,lo4mt1,lo4mt1,,lo4mt1,,,Locomotion - 4 meter walk - Trial 1 (Usual Pace) Time,,
NIH Toolbox 4-Meter Walk Gait Speed Test Age 7+ v2.0,4-Meter_Walk.tlbx_motor01_template,4-Meter_Walk,HCPD HCPA,tlbx_motor01,lo4mt2,lo4mt2,,lo4mt2,,,Locomotion - 4 meter walk - Trial 2 (Fast Pace) Time,,
NIH Toolbox 4-Meter Walk Gait Speed Test Age 7+ v2.0,4-Meter_Walk.tlbx_motor01_template,4-Meter_Walk,HCPD HCPA,tlbx_motor01,loco_rawscore,RawScore,Please rename this column 'loco_rawscore' to avoid a naming conflict.,loco_rawscore,,studydata['loco_rawscore']=studydata['RawScore'],Locomotion - 4 meter walk - Raw Score,,
NIH Toolbox 9-Hole Pegboard Dexterity Test Age 3+ v2.0,9-Hole_Pegboard.tlbx_motor01_template,9-Hole_Pegboard,HCPD HCPA,tlbx_motor01,nih_tlbx_agecsc_dominant,Age_Corrected_Standard_Scores_Dominant,,Age_Corrected_Standard_Scores_Dominant,,,Age-Corrected Standard Scores Dominant,,
NIH Toolbox 9-Hole Pegboard Dexterity Test Age 3+ v2.0,9-Hole_Pegboard.tlbx_motor01_template,9-Hole_Pegboard,HCPD HCPA,tlbx_motor01,nih_tlbx_agecsc_nondom,Age_Corrected_Standard_Scores_Non_Dominant,,Age_Corrected_Standard_Scores_Non_Dominant,,,Age-Corrected Standard Scores Non-Dominant,,
NIH Toolbox 9-Hole Pegboard Dexterity Test Age 3+ v2.0,9-Hole_Pegboard.tlbx_motor01_template,9-Hole_Pegboard,HCPD HCPA,tlbx_motor01,version_form,Assessment_Name,,Assessment_Name,,,Form used/assessment name,,
NIH Toolbox 9-Hole Pegboard Dexterity Test Age 3+ v2.0,9-Hole_Pegboard.tlbx_motor01_template,9-Hole_Pegboard,HCPD HCPA,tlbx_motor01,nih_tlbx_domsc,Dominant_Score,,Dominant_Score,,,Dominant Score,,
NIH Toolbox 9-Hole Pegboard Dexterity Test Age 3+ v2.0,9-Hole_Pegboard.tlbx_motor01_template,9-Hole_Pegboard,HCPD HCPA,tlbx_motor01,dx9hdominanttime,dx9hdominanttime,,dx9hdominanttime,,,9-Hole Pegboard Dexterity Test: Dominant Hand - time to completion,,"Time is in seconds, to the hundredth of a second"
NIH Toolbox 9-Hole Pegboard Dexterity Test Age 3+ v2.0,9-Hole_Pegboard.tlbx_motor01_template,9-Hole_Pegboard,HCPD HCPA,tlbx_motor01,dx9hnondominanttime,dx9hnondominanttime,,dx9hnondominanttime,,,9-Hole Pegboard Dexterity Test: Non-Dominant Hand - time to completion,,"Time is in seconds, to the hundredth of a second"
NIH Toolbox 9-Hole Pegboard Dexterity Test Age 3+ v2.0,9-Hole_Pegboard.tlbx_motor01_template,9-Hole_Pegboard,HCPD HCPA,tlbx_motor01,wcst_ni,ItmCnt,,ItmCnt,,studydata['ItmCnt']=studydata.ItmCnt.astype(int),Number of Items,,
NIH Toolbox 9-Hole Pegboard Dexterity Test Age 3+ v2.0,9-Hole_Pegboard.tlbx_motor01_template,9-Hole_Pegboard,HCPD HCPA,tlbx_motor01,interview_language,Language,,Language,,,Language Used in the Interview,,
NIH Toolbox 9-Hole Pegboard Dexterity Test Age 3+ v2.0,9-Hole_Pegboard.tlbx_motor01_template,9-Hole_Pegboard,HCPD HCPA,tlbx_motor01,ninehole_pctl_dom,National_Percentile__age_adjusted__Dominant,Please rename this column 'ninehole_pctl_dom' to avoid a naming conflict.,ninehole_pctl_dom,,"studydata['ninehole_pctl_dom']=studydata['National_Percentile__age_adjusted__Dominant'].round().fillna(-99).astype(int).astype(str).str.replace('-99','')",9-Hole Pegboard Dexterity Test National Percentile (age adjusted) Dominant hand,0::100,
NIH Toolbox 9-Hole Pegboard Dexterity Test Age 3+ v2.0,9-Hole_Pegboard.tlbx_motor01_template,9-Hole_Pegboard,HCPD HCPA,tlbx_motor01,ninehole_pctl_nondom,National_Percentile__age_adjusted__Non_Dominant,Please rename this column 'ninehole_pctl_nondom' to avoid a naming conflict.,ninehole_pctl_nondom,,"studydata['ninehole_pctl_nondom']=studydata['National_Percentile__age_adjusted__Non_Dominant'].round().fillna(-99).astype(int).astype(str).str.replace('-99','')",9-Hole Pegboard Dexterity Test National Percentile (age adjusted) Non-Dominant hand,0::100,
NIH Toolbox 9-Hole Pegboard Dexterity Test Age 3+ v2.0,9-Hole_Pegboard.tlbx_motor01_template,9-Hole_Pegboard,HCPD HCPA,tlbx_motor01,nih_tlbx_nondomsc,Non_Dominant_Score,,Non_Dominant_Score,,,Non-Dominant Score,,
NIH Toolbox 9-Hole Pegboard Dexterity Test Age 3+ v2.0,9-Hole_Pegboard.tlbx_motor01_template,9-Hole_Pegboard,HCPD HCPA,tlbx_motor01,grip_standardsc_dom,Uncorrected_Standard_Scores_Dominant,,Uncorrected_Standard_Scores_Dominant,,,9-Hole Grip Strength Dominant Hand Normative Standard Score,,
NIH Toolbox 9-Hole Pegboard Dexterity Test Age 3+ v2.0,9-Hole_Pegboard.tlbx_motor01_template,9-Hole_Pegboard,HCPD HCPA,tlbx_motor01,nih_tlbx_standardsc_nondom,Uncorrected_Standard_Scores_Non_Dominant,,nih_tlbx_standardsc_nondom,,studydata['nih_tlbx_standardsc_nondom']=studydata.Uncorrected_Standard_Scores_Non_Dominant,Uncorrected Standard Scores Non-Dominant,,
NIH Toolbox Anger FF Ages 8-17 v2.0,Anger_8-17.prang01_template,Anger_8-17,HCPD HCPA,prang01,version_form,Assessment_Name,,Assessment_Name,,,Form used/assessment name,,
NIH Toolbox Anger FF Ages 8-17 v2.0,Anger_8-17.prang01_template,Anger_8-17,HCPD HCPA,prang01,fully_corrected_t_score,Fully_Corrected_T_score,,Fully_Corrected_T_score,,"studydata['Fully_Corrected_T_score']=studydata.Fully_Corrected_T_score.round().fillna(-99).astype(int).astype(str).str.replace('-99','')",Anger: Fully Corrected T-score,,
NIH Toolbox Anger FF Ages 8-17 v2.0,Anger_8-17.prang01_template,Anger_8-17,HCPD HCPA,prang01,wcst_ni,ItmCnt,,ItmCnt,,studydata['ItmCnt']=studydata.ItmCnt.astype(int),Number of Items,,
NIH Toolbox Anger FF Ages 8-17 v2.0,Anger_8-17.prang01_template,Anger_8-17,HCPD HCPA,prang01,interview_language,Language,,Language,,,Language Used in the Interview,,
NIH Toolbox Anger FF Ages 8-17 v2.0,Anger_8-17.prang01_template,Anger_8-17,HCPD HCPA,prang01,pedrepang13,pedrepang13,,pedrepang13,,,"In the past 7 days, I felt mad",1::5,1 = Never; 2 = Almost never; 3 = Sometimes; 4 = Often; 5 = Almost Always
NIH Toolbox Anger FF Ages 8-17 v2.0,Anger_8-17.prang01_template,Anger_8-17,HCPD HCPA,prang01,pedrepang14,pedrepang14,,pedrepang14,,,"In the past 7 days, I was so angry I felt like yelling at somebody",1::5,1 = Never; 2 = Almost never; 3 = Sometimes; 4 = Often; 5 = Almost Always
NIH Toolbox Anger FF Ages 8-17 v2.0,Anger_8-17.prang01_template,Anger_8-17,HCPD HCPA,prang01,pedrepang16,pedrepang16,,pedrepang16,,,"In the past 7 days, I felt fed up",1::5,1 = Never; 2 = Almost never; 3 = Sometimes; 4 = Often; 5 = Almost Always
NIH Toolbox Anger FF Ages 8-17 v2.0,Anger_8-17.prang01_template,Anger_8-17,HCPD HCPA,prang01,pedrepang17,pedrepang17,,pedrepang17,,,"In the past 7 days, I was so angry I felt like throwing something",1::5,1 = Never; 2 = Almost never; 3 = Sometimes; 4 = Often; 5 = Almost Always
